,id,degreeType,major,earlyCareerMedianPay,midCareerMedianPay,fiveToTenYearMedianPay,tenToTwentyYearMedianPay,twentyPlusYearMedianPay,percentHighMeaning,year,url,rank,tie
802,4209,Bachelors,Youth Ministry,37400,54200,43100.0,53300.0,65100.0,0.76,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Youth_Ministry/Salary,803,False
803,4199,Bachelors,Elementary Education,40000,53800,45200.0,50700.0,59800.0,0.69,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Elementary_Education/Salary,804,False
804,4200,Bachelors,Voice & Opera,34500,53300,51300.0,58900.0,,0.57,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Voice_%26_Opera/Salary,805,False
805,4201,Bachelors,Christian Education,38700,53200,44000.0,47700.0,53800.0,0.82,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Christian_Education/Salary,806,True
806,4202,Bachelors,Conflict Resolution,44400,53200,56300.0,,,0.5,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Conflict_Resolution/Salary,806,True
807,4203,Bachelors,Baking & Pastry Arts,37500,53000,42600.0,47500.0,,0.44,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Baking_%26_Pastry_Arts/Salary,808,True
808,4204,Bachelors,Human Services Management,45600,53000,,,,,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Human_Services_Management/Salary,808,True
809,4205,Bachelors,Hospitality & The Culinary Arts,38800,52900,,,,,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Hospitality_%26_The_Culinary_Arts/Salary,810,False
810,4206,Bachelors,Human Services (HS),38700,52500,45200.0,51000.0,57200.0,0.71,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Human_Services_(HS)/Salary,811,False
811,4207,Bachelors,Counseling,39900,51700,43800.0,51600.0,53100.0,0.78,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Counseling/Salary,812,False
812,4208,Bachelors,Recreational Therapy,38400,51600,39500.0,47200.0,,0.84,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Recreational_Therapy/Salary,813,False
813,4210,Bachelors,Child Development,37400,51400,43300.0,49300.0,54600.0,0.73,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Child_Development/Salary,814,False
814,4221,Bachelors,Educational Psychology,36900,51200,,,,,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Educational_Psychology/Salary,815,False
815,4211,Bachelors,Middle School Education,41200,50800,46800.0,49900.0,,0.73,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Middle_School_Education/Salary,816,False
816,4212,Bachelors,Mental Health Counseling,36100,50000,49600.0,52000.0,,0.78,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Mental_Health_Counseling/Salary,817,False
817,4213,Bachelors,Early Childhood & Elementary Education,38000,48400,41000.0,47300.0,50100.0,0.77,2021,/research/US/Degree=Bachelor%27s_Degree%2C_Early_Childhood_%26_Elementary_Education/Salary,818,False
